rep,id,eta_beta_exp,eta_delta0,eta_p,eta_td,eta_b_exp,eta_h_0,eta_tc,eta_sigma,eta_phi_exp,eta_rho_exp,eta_alpha_exp
1,7,1.14028,1.59444,-0.377751,-0.590472,-3.51801,0.613378,3.0923,0.365447,0,2.15523,-0.425043
2,7,0.272532,1.16902,-0.432407,-0.248765,-2.30613,0.51335,0.955667,0.0747713,0,1.27263,-0.212396
3,7,0.242364,1.28214,-0.390245,-0.624062,-2.27079,0.48564,1.2591,0.177378,0,1.43579,0.135856
4,7,0.448807,1.15206,-0.621639,-0.599369,-2.44882,0.537569,0.757966,-0.168766,0,1.36607,-0.216905
5,7,0.50557,1.58678,-0.412643,-0.334359,-2.62706,0.550902,0.643439,0.0975645,0,1.95775,-0.0556319
6,7,1.30139,2.00301,-0.571854,-0.94349,-3.25911,0.59577,1.19889,-0.260603,0,1.75512,-0.281911
7,7,0.245397,1.12638,-0.174056,-0.660797,-2.81648,0.557412,0.793067,-0.0219278,0,1.40834,0.612079
8,7,0.572739,1.83212,-0.352786,0.15921,-2.17147,0.435552,1.72361,0.547918,0,1.58217,-0.151617
9,7,0.443408,0.405593,-0.778583,-0.339197,-2.06789,0.466515,0.143147,-0.290645,0,1.34049,-0.306085
10,7,0.147526,0.874457,-0.309335,-0.147979,-2.13685,0.454201,0.767361,0.0809429,0,1.30311,-0.0118842
1,8,-0.456258,-1.32579,0.383033,0.438657,1.27245,-0.241422,-1.95311,-0.573528,0,-1.21725,0.113788
2,8,-0.326051,-1.03703,0.335003,0.374649,2.08648,-0.457319,-0.346112,0.0695613,0,-1.09937,-0.0688809
3,8,0.234753,-0.332539,0.164031,0.50748,1.72531,-0.386833,0.259209,0.0605466,0,-1.26584,-0.11835
4,8,-0.520619,-1.19775,0.315667,0.43994,1.41219,-0.225357,-1.13246,-0.396837,0,-0.885974,-0.0548422
5,8,-0.282373,-1.19676,0.232584,0.456014,1.7566,-0.408389,-0.647046,-0.0963939,0,-1.2882,-0.221095
6,8,-0.565716,-1.67719,0.0678647,0.427128,1.70407,-0.313735,-1.01877,-0.14084,0,-0.86528,-0.0754693
