parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
beta_exp_pop,-3.53590057575355,,0.262775607439446,7.43164582288755,-4.05093,-3.02087
delta0_pop,0.932561380607186,,18.5093569134537,1984.78698543171,0.0310522,28.0067
p_pop,2.74271703263089,,0.545762643995816,19.8986128537039,1.67304,3.81239
td_pop,1.68705505319717,,0.826340117391845,48.9812182374152,0.730674,3.89525
b_exp_pop,-2.53362654960006,,0.558203674849245,22.0318055530859,-3.62769,-1.43957
h_0_pop,0.620402416799811,,0.0812785781764248,13.1009448021947,0.481448,0.799461
tc_pop,6.15968628577721,,2.07539284872743,33.693158262289,2.21608,9.96989
sigma_pop,0.405652809455046,,0.108439129169506,26.7320049663118,0.24628,0.66816
phi_exp_pop,-2.1527569042375,,nan,nan,nan,nan
rho_exp_pop,-2.16008847130897,,1.27112197791259,58.8458294554164,-4.65144,0.331265
alpha_exp_pop,-3.72142796584485,,nan,nan,nan,nan
omega_beta_exp,0.547020157775486,-15.4704620804817,0.321893645363655,58.8449330044196,0.209104,1.43102
omega_delta0,1.13826751757702,162.892008386756,nan,nan,nan,nan
omega_p,0.528952864086366,19.2857249870571,0.179913079701979,34.0130646636604,0.284964,0.981846
omega_td,0.520571334185797,55.791386137807,0.314433436667464,60.4016041642508,0.195353,1.3872
omega_b_exp,1.63183475906588,-64.4070752780619,2.25809236474545,138.377513544206,0.324655,8.20219
omega_h_0,0.307609578507837,31.5031870531086,0.547456174282648,177.97110770681,0.0502883,1.88162
omega_tc,1.8344665952726,59.2963673573852,1.63875802867247,89.3315818830137,0.514172,6.54503
omega_sigma,0.657104070419556,73.4850425685852,0.594454559640154,90.4658160556819,0.182388,2.3674
omega_rho_exp,0.876630486272325,-40.5830824948157,0.390659275801078,44.5637337417125,0.403413,1.90495
omega_alpha_exp,0.294270846658985,-7.90747125457736,nan,nan,nan,nan
corr_beta_exp_b_exp,-0.685476459315238,,nan,nan,nan,nan
corr_delta0_b_exp,-0.730404850743949,,nan,nan,nan,nan
corr_h_0_b_exp,-0.963087525309187,,nan,nan,nan,nan
corr_p_b_exp,0.166872008516155,,nan,nan,nan,nan
corr_rho_exp_b_exp,-0.908845839324002,,nan,nan,nan,nan
corr_sigma_b_exp,0.091776781189626,,nan,nan,nan,nan
corr_tc_b_exp,-0.463966629224683,,nan,nan,nan,nan
corr_td_b_exp,0.756401177453682,,nan,nan,nan,nan
corr_delta0_beta_exp,0.5805060584117,,nan,nan,nan,nan
corr_h_0_beta_exp,0.623036125145291,,nan,nan,nan,nan
corr_p_beta_exp,-0.412032235746788,,nan,nan,nan,nan
corr_rho_exp_beta_exp,0.518032150380917,,nan,nan,nan,nan
corr_sigma_beta_exp,-0.349470632048631,,nan,nan,nan,nan
corr_tc_beta_exp,0.210655576008454,,nan,nan,nan,nan
corr_td_beta_exp,-0.541917941729658,,0.7889721408652,145.588857668563,-0.992575,0.918981
corr_h_0_delta0,0.697732718772669,,nan,nan,nan,nan
corr_p_delta0,0.161757119466311,,nan,nan,nan,nan
corr_rho_exp_delta0,0.701073702867633,,nan,nan,nan,nan
corr_sigma_delta0,0.403443181021006,,nan,nan,nan,nan
corr_tc_delta0,0.841652685083797,,nan,nan,nan,nan
corr_td_delta0,-0.596360091103056,,0.286947139296871,48.1164222049332,-0.915469,0.183248
corr_p_h_0,-0.248443963147358,,nan,nan,nan,nan
corr_rho_exp_h_0,0.93376028195081,,nan,nan,nan,nan
corr_sigma_h_0,-0.0889679908310798,,nan,nan,nan,nan
corr_tc_h_0,0.420022278110711,,nan,nan,nan,nan
corr_td_h_0,-0.664894074243252,,0.415190279486672,62.4445750940434,-0.978461,0.576385
corr_rho_exp_p,-0.228551658415558,,nan,nan,nan,nan
corr_sigma_p,0.575640968320545,,nan,nan,nan,nan
corr_tc_p,0.478237874684513,,0.802335384438359,167.769101300822,-0.908377,0.988108
corr_td_p,-0.216692233134214,,0.916886963040544,423.128669532261,-0.970787,0.930944
corr_sigma_rho_exp,0.0857011851035516,,nan,nan,nan,nan
corr_tc_rho_exp,0.487547651088968,,nan,nan,nan,nan
corr_td_rho_exp,-0.605158304320739,,nan,nan,nan,nan
corr_tc_sigma,0.74024625151067,,nan,nan,nan,nan
corr_td_sigma,0.08462734950521,,0.39091200382529,461.921596399783,-0.595967,0.694466
corr_td_tc,-0.420829909714765,,nan,nan,nan,nan
a1,0.891726415405841,,0.0635586374378434,7.12759388303157,0.775873,1.02488
b2,0.412797859255818,,0.0419288579906736,10.1572372652954,0.338794,0.502967
a3,0.453541331055835,,0.281253542138505,62.0127699241329,0.167034,1.23148
b3,0.600400171575245,,0.0858796558240797,14.303736056364,0.4555,0.791395
